station,YYYY-MM-DD,daily_rain,daily_rain_source,max_temp,max_temp_source,min_temp,min_temp_source,vp,vp_source,vp_deficit,vp_deficit_source,evap_pan,evap_pan_source,evap_syn,evap_syn_source,evap_comb,evap_comb_source,evap_morton_lake,evap_morton_lake_source,radiation,radiation_source,rh_tmax,rh_tmax_source,rh_tmin,rh_tmin_source,et_short_crop,et_short_crop_source,et_tall_crop,et_tall_crop_source,et_morton_actual,et_morton_actual_source,et_morton_potential,et_morton_potential_source,et_morton_wet,et_morton_wet_source,mslp,mslp_source,metadata
66098,2010-01-01,    0.0,0, 29.2,25, 21.0,25, 24.3,25, 11.7,26,  6.1,25,  4.7,26,  6.1,25, 4.6,26, 15.1,42, 60.0,26, 97.8,26,  3.8,26,  4.6,26, 3.7,26, 5.4,26, 4.6,26,1013.7,25,"name=ROSE BAY (ROYAL SYDNEY GOLF CLUB)       "
66098,2010-01-02,    4.0,0, 30.3,25, 23.0,25, 22.9,25, 16.0,26,  6.1,25,  5.8,26,  6.1,25, 5.5,26, 18.4,42, 53.1,26, 81.5,26,  4.8,26,  6.0,26, 3.6,26, 7.2,26, 5.4,26,1007.8,25,"latitude= -33.8809"
66098,2010-01-03,   14.4,0, 21.3,25, 18.6,25, 19.5,25,  4.8,26,  1.7,25,  2.4,26,  1.7,25, 2.3,26,  7.9,42, 77.0,26, 91.0,26,  2.0,26,  2.5,26, 1.8,26, 2.7,26, 2.2,26,1015.5,25,"longitude= 151.2658"
66098,2010-01-04,    0.8,0, 24.2,25, 17.8,25, 17.6,25,  9.8,26,  4.3,25,  5.0,26,  4.3,25, 4.7,26, 18.9,42, 58.3,26, 86.4,26,  4.0,26,  4.9,26, 3.6,26, 5.7,26, 4.6,26,1020.8,25,"elevation=   8.0 m"
66098,2010-01-05,    0.0,0, 26.3,25, 17.9,25, 18.4,25, 11.8,26,  7.3,25,  7.0,26,  7.3,25, 7.3,26, 29.2,42, 53.8,26, 89.8,26,  5.6,26,  6.5,26, 6.4,26, 7.9,26, 7.1,26,1018.0,25,"reference=rxnvdescljhgftapwm"
66098,2010-01-06,    0.2,0, 26.1,25, 21.2,25, 22.5,25,  8.9,26,  6.6,25,  6.4,26,  6.6,25, 7.5,26, 28.2,42, 66.6,26, 89.4,26,  5.4,26,  6.0,26, 7.1,26, 7.4,26, 7.3,26,1015.7,25,"extracted=20240905"
66098,2010-01-07,    0.0,0, 24.3,25, 20.4,25, 17.7,25, 10.9,26,  4.5,25,  4.2,26,  4.5,25, 3.6,26, 13.3,42, 58.3,26, 73.9,26,  3.6,26,  4.6,26, 1.8,26, 5.4,26, 3.6,26,1018.5,25,"dataset=BoM Only"
66098,2010-01-08,    0.0,0, 25.7,25, 20.5,25, 19.0,25, 11.6,26,  5.0,25,  6.5,26,  5.0,25, 6.8,26, 26.5,42, 57.6,26, 78.8,26,  5.4,26,  6.3,26, 5.5,26, 7.7,26, 6.6,26,1021.8,25,"Please read our web site for information about the meanings of the codes, and other information"
66098,2010-01-09,    0.0,0, 32.8,25, 20.1,25, 23.0,25, 18.5,26, 10.4,25,  8.7,26, 10.4,25, 9.2,26, 32.7,42, 46.2,26, 97.8,26,  7.0,26,  8.2,26, 8.0,26, 9.9,26, 9.0,26,1017.8,25,""
66098,2010-01-10,    0.0,0, 28.3,25, 23.4,25, 22.6,25, 13.2,26,  8.3,25,  7.8,26,  8.3,25, 9.0,26, 32.6,42, 58.8,26, 78.6,26,  6.6,26,  7.6,26, 8.0,26, 9.6,26, 8.8,26,1015.9,25,""
