station,YYYY-MM-DD,daily_rain,daily_rain_source,max_temp,max_temp_source,min_temp,min_temp_source,vp,vp_source,vp_deficit,vp_deficit_source,evap_pan,evap_pan_source,evap_syn,evap_syn_source,evap_comb,evap_comb_source,evap_morton_lake,evap_morton_lake_source,radiation,radiation_source,rh_tmax,rh_tmax_source,rh_tmin,rh_tmin_source,et_short_crop,et_short_crop_source,et_tall_crop,et_tall_crop_source,et_morton_actual,et_morton_actual_source,et_morton_potential,et_morton_potential_source,et_morton_wet,et_morton_wet_source,mslp,mslp_source,metadata
86304,2010-01-01,   14.5,15, 20.5,25, 18.7,25, 20.1,25,  3.3,26,  1.8,25,  1.7,26,  1.8,25, 2.0,26,  7.0,42, 83.4,26, 93.3,26,  1.7,26,  2.0,26, 1.8,26, 2.1,26, 1.9,26,1010.9,25,"name=HAWTHORN (SCOTCH COLLEGE)               "
86304,2010-01-02,    4.3,15, 21.3,25, 15.1,25, 15.0,25,  8.0,26,  4.7,25,  4.2,26,  4.7,25, 4.3,26, 18.7,42, 59.2,26, 87.5,26,  3.7,26,  4.4,26, 3.3,26, 5.1,26, 4.2,26,1011.1,25,"latitude= -37.8363"
86304,2010-01-03,    2.3,15, 20.1,25, 13.9,25, 11.4,25, 10.0,26,  3.8,25,  4.9,26,  3.8,25, 4.7,26, 21.9,42, 48.5,26, 71.8,26,  4.3,26,  5.3,26, 3.0,26, 6.3,26, 4.6,26,1019.2,25,"longitude= 145.0301"
86304,2010-01-04,    0.0,15, 26.9,25, 11.2,25, 11.7,25, 16.3,26,  5.7,25,  7.9,26,  5.7,25, 8.2,26, 34.7,42, 33.0,26, 88.0,26,  6.6,26,  8.0,26, 6.3,26, 9.5,26, 7.9,26,1018.7,25,"elevation=   7.0 m"
86304,2010-01-05,    0.0,0, 24.6,25, 13.9,25, 17.0,25,  9.3,26,  6.6,25,  6.7,26,  6.6,25, 8.1,26, 33.2,42, 55.0,26,100.0,26,  5.5,26,  6.2,26, 7.9,26, 7.9,26, 7.9,26,1014.2,25,"reference=rxnvdescljhgftapwm"
86304,2010-01-06,    0.0,0, 22.8,25, 13.0,25, 13.9,25, 10.0,26,  4.7,25,  5.8,26,  4.7,25, 6.2,26, 27.5,42, 50.1,26, 92.9,26,  4.8,26,  5.7,26, 5.3,26, 6.8,26, 6.1,26,1018.3,25,"extracted=20240905"
86304,2010-01-07,    0.0,0, 24.9,25, 13.0,25, 11.5,25, 14.8,26,  6.0,25,  7.6,26,  6.0,25, 8.1,26, 34.7,42, 36.5,26, 76.8,26,  6.4,26,  7.7,26, 6.2,26, 9.6,26, 7.9,26,1018.9,25,"dataset=BoM Only"
86304,2010-01-08,    0.0,0, 36.0,25, 11.5,25, 15.1,25, 27.0,26,  9.4,25,  9.0,26,  9.4,25, 7.6,26, 30.3,42, 25.4,26,100.0,26,  7.4,26,  9.6,26, 5.0,26, 9.9,26, 7.5,26,1017.2,25,"Please read our web site for information about the meanings of the codes, and other information"
86304,2010-01-09,    0.0,0, 38.2,25, 17.7,25, 13.6,25, 36.9,26,  7.8,25, 10.7,26,  7.8,25, 9.1,26, 33.8,42, 20.3,26, 67.2,26,  8.7,26, 11.4,26, 4.4,26,13.3,26, 8.9,26,1013.6,25,""
86304,2010-01-10,    0.0,0, 31.7,25, 14.3,25, 16.3,25, 20.1,26,  6.9,25,  8.3,26,  6.9,25, 8.6,26, 33.6,42, 34.9,26,100.0,26,  7.0,26,  8.6,26, 6.8,26, 9.9,26, 8.4,26,1017.6,25,""
